id,file_number,author,title,genre,word_count,split
51,55,Павлоски Божин,Уткини соседи,Проза,76395,validation
52,56,Јачев Ристо,Сивите гребени,Поезија,16228,validation
53,57,Ковачески Зоран,Аристотел од Ресен,Проза,79027,test
54,58,Василевски Ристо,Чувар на полето,Поезија,16448,test
55,59,Башевски Димитар,Бунар,Проза,52428,train
56,60,Маџунков Митко,Кон другата земја,Проза,147496,test
57,61,Чаловски Тодор,Ѕидање сон,Поезија,26846,test
58,62,Вангелов Атанас,Изучување на молкот,Поезија,17237,test
59,63,Клетников Ефтим,Ангелот од Курбиново,Поезија,19832,train
60,64,Бакевски Петре,Небесен оган,Поезија,29909,train
61,65,Чачански Крсте,На небото книга,Проза,43034,train
62,66,Манчев Васе,Шупливи ореви,Проза,47790,train
63,67,Лазаров Ристо,Жива рана,Поезија,15142,train
64,68,Крстевски Трајче,Силјан повторно лета,Проза,22245,train
65,69,Колбе Кица,Снегот во Казабланка,Проза,138948,train
66,70,Михајловски Драги,Избор,Проза,77390,train
67,71,Ќулавкова Катица,Ерато,Поезија,27468,train
68,72,Стојковски Глигор,Капката оловна вода,Поезија,15001,train
69,73,Линдро Милош,Раз-градба,Поезија,8088,train
70,74,Стефановски Милован,Високо вода,Поезија,12138,train
71,75,Ацевска Весна,Мартинки,Поезија,10970,train
72,76,Дирјан Лидија,Светот мојот брат,Поезија,23681,train
73,77,Анчевски Зоран,Избрани песни,Поезија,11372,train
74,79,Даниловски Јордан,Коба,Поезија,13553,validation
75,80,Прокопиев Александар,Избрани раскази,Проза,56757,train
76,81,Србиновски Младен,Приказни од Долна Земја,Проза,109407,train
77,82,Џепаровски Иван,Волја за мисла,Поезија,11339,test
78,83,Димовски Славе Ѓорго,Поле. Бојно поле?,Поезија,13598,train
79,85,Миневски Блаже,Нишан,Проза,104179,train
80,86,Лафазановски Ермис,Егзотична кантата,Проза,47797,train
81,87,Андоновски Венко,Папокот на светот,Проза,87995,train
82,88,Димковска Лидија,Идеална тежина,Поезија,21103,validation
83,89,Маџиров Никола,Начин на постоење,Поезија,7105,test
84,90,Смилевски Гоце,Разговор со Спиноза,Проза,48132,train
85,91,Тасевски Јовица,Синтакса на светлината,Поезија,8605,train
86,93,Силјан Раде,Македонски раскази,Проза,153820,train
87,94,Јоциќ Светлана,Романи за деца (I) и  (II),Детска книжевност,215815,train
88,95,Јоциќ Светлана,Романи за деца (I) и  (II),Детска книжевност,206073,train
89,96,Спасевски Мито,Современа македонска поезија за деца,Детска книжевност,34393,test
90,97,Димовски Петре,Раскази за деца,Детска книжевност,79838,train
91,98,Арсовски Томе,Парадоксот на Диоген,Драма,22408,train
92,99,Стефановски Горан,Одбрани драми,Драма,46032,train
93,100,Плевнеш Јордан,Одбрани драми,Драма,95358,validation
94,101,Стојаноска Ана,Современа македонска драма,Драма,127565,train
95,132,Стојчевски Санде,Крајните потези,Поезија,23557,train
96,133,Смилевски Веле,Век за самување,Поезија,26255,validation
97,134,Силјан Раде,Огледало на вековите,Поезија,18705,train
98,135,Цветкоски Бранко,Оган во обрачи,Поезија,19939,train
