source,sentence_id,token_id,form,lemma_gold,upos
UD-MTB,21,10,.,.,PUNCT
UD-MTB,22,1,Професорот,професор,NOUN
UD-MTB,22,2,",",",",PUNCT
UD-MTB,22,3,којшто,којшто,PRON
UD-MTB,22,4,се,се,PRON
UD-MTB,22,5,пензионира,пензионира,VERB
UD-MTB,22,6,минатата,минат,ADJ
UD-MTB,22,7,година,година,NOUN
UD-MTB,22,8,",",",",PUNCT
UD-MTB,22,9,напишал,напише,VERB
UD-MTB,22,10,нова,нов,ADJ
UD-MTB,22,11,книга,книга,NOUN
UD-MTB,22,12,.,.,PUNCT
UD-MTB,23,1,Тие,тие,PRON
UD-MTB,23,2,жалеа,жали,VERB
UD-MTB,23,3,што,што,SCONJ
UD-MTB,23,4,не,не,PART
UD-MTB,23,5,сте,сум,AUX
UD-MTB,23,6,се,се,PRON
UD-MTB,23,7,виделе,види,VERB
UD-MTB,23,8,.,.,PUNCT
UD-MTB,24,1,Не,не,PART
UD-MTB,24,2,можеш,може,VERB
UD-MTB,24,3,да,да,PART
UD-MTB,24,4,дојдеш,дојде,VERB
UD-MTB,24,5,или,или,CCONJ
UD-MTB,24,6,не,не,PART
UD-MTB,24,7,сакаш,сака,VERB
UD-MTB,24,8,?,?,PUNCT
UD-MTB,25,1,Тие,тие,PRON
UD-MTB,25,2,не,не,PART
UD-MTB,25,3,го,го,PRON
UD-MTB,25,4,забележија,забележи,VERB
UD-MTB,25,5,возачот,возач,NOUN
UD-MTB,25,6,покрај,покрај,ADP
UD-MTB,25,7,расипаниот,расипан,ADJ
UD-MTB,25,8,автомобил,автомобил,NOUN
UD-MTB,25,9,или,или,CCONJ
UD-MTB,25,10,не,не,PART
UD-MTB,25,11,сакаа,сака,VERB
UD-MTB,25,12,да,да,PART
UD-MTB,25,13,го,го,PRON
UD-MTB,25,14,забележат,забележи,VERB
UD-MTB,25,15,.,.,PUNCT
UD-MTB,26,1,Сонцето,сонце,NOUN
UD-MTB,26,2,час,час,CCONJ
UD-MTB,26,3,ќе,ќе,AUX
UD-MTB,26,4,се,се,PRON
UD-MTB,26,5,појавеше,појави,VERB
UD-MTB,26,6,час,час,CCONJ
UD-MTB,26,7,ќе,ќе,AUX
UD-MTB,26,8,се,се,PRON
UD-MTB,26,9,скриеше,скрие,VERB
UD-MTB,26,10,зад,зад,ADP
UD-MTB,26,11,облаците,облак,NOUN
UD-MTB,26,12,.,.,PUNCT
UD-MTB,27,1,Дојди,доаѓа,VERB
UD-MTB,27,2,",",",",PUNCT
UD-MTB,27,3,па,па,CCONJ
UD-MTB,27,4,ќе,ќе,AUX
UD-MTB,27,5,се,се,PRON
UD-MTB,27,6,договориме,договори,VERB
UD-MTB,27,7,.,.,PUNCT
UD-MTB,28,1,Или,или,CCONJ
UD-MTB,28,2,ќе,ќе,AUX
UD-MTB,28,3,положиш,положи,VERB
UD-MTB,28,4,или,или,CCONJ
UD-MTB,28,5,ќе,ќе,AUX
UD-MTB,28,6,паднеш,падне,VERB
UD-MTB,28,7,.,.,PUNCT
UD-MTB,29,1,Јави,јави,VERB
UD-MTB,29,2,ми,ми,PRON
UD-MTB,29,3,се,се,PRON
UD-MTB,29,4,или,или,CCONJ
UD-MTB,29,5,дојди,дојди,VERB
UD-MTB,29,6,.,.,PUNCT
UD-MTB,30,1,Бев,сум,AUX
UD-MTB,30,2,болен,болен,ADJ
UD-MTB,30,3,",",",",PUNCT
UD-MTB,30,4,така,така,CCONJ
UD-MTB,30,5,што,што,CCONJ
UD-MTB,30,6,не,не,PART
UD-MTB,30,7,отидов,оди,VERB
UD-MTB,30,8,на,на,ADP
UD-MTB,30,9,факултет,факултет,NOUN
UD-MTB,30,10,.,.,PUNCT
UD-MTB,31,1,Снегот,снег,NOUN
UD-MTB,31,2,паѓаше,паѓа,VERB
UD-MTB,31,3,изобилно,изобилно,ADV
UD-MTB,31,4,и,и,CCONJ
UD-MTB,31,5,автомобилите,автомобил,NOUN
UD-MTB,31,6,бавно,бавно,ADV
UD-MTB,31,7,се,се,PRON
UD-MTB,31,8,движеа,движи,VERB
UD-MTB,31,9,.,.,PUNCT
UD-MTB,32,1,Неговата,негов,PRON
UD-MTB,32,2,температура,температура,NOUN
UD-MTB,32,3,де,де,SCONJ
UD-MTB,32,4,се,се,PRON
UD-MTB,32,5,качуваше,качува,VERB
UD-MTB,32,6,де,де,SCONJ
UD-MTB,32,7,се,се,PRON
UD-MTB,32,8,спушташе,спушта,VERB
UD-MTB,32,9,.,.,PUNCT
UD-MTB,33,1,Или,или,CCONJ
UD-MTB,33,2,првин,првин,ADV
UD-MTB,33,3,доаѓа,доаѓа,VERB
UD-MTB,33,4,на,на,ADP
UD-MTB,33,5,факултет,факултет,NOUN
UD-MTB,33,6,или,или,CCONJ
UD-MTB,33,7,оди,оди,VERB
UD-MTB,33,8,на,на,ADP
UD-MTB,33,9,кафе,кафе,NOUN
UD-MTB,33,10,во,во,ADP
UD-MTB,33,11,„,„,PUNCT
UD-MTB,33,12,Спа,спа,NOUN
UD-MTB,33,13,“,“,PUNCT
UD-MTB,33,14,.,.,PUNCT
UD-MTB,34,1,Тој,тој,PRON
UD-MTB,34,2,дојде,дојде,VERB
UD-MTB,34,3,",",",",PUNCT
UD-MTB,34,4,само,само,CCONJ
UD-MTB,34,5,што,што,CCONJ
UD-MTB,34,6,не,не,PART
UD-MTB,34,7,остана,остане,VERB
UD-MTB,34,8,до,до,ADP
UD-MTB,34,9,крајот,крај,NOUN
UD-MTB,34,10,.,.,PUNCT
UD-MTB,35,1,Таа,таа,PRON
UD-MTB,35,2,е,сум,AUX
UD-MTB,35,3,жена,жена,NOUN
UD-MTB,35,4,каква,каков,SCONJ
UD-MTB,35,5,што,што,SCONJ
UD-MTB,35,6,само,само,ADV
UD-MTB,35,7,може,може,VERB
UD-MTB,35,8,да,да,PART
UD-MTB,35,9,се,се,PRON
UD-MTB,35,10,посака,посака,VERB
UD-MTB,35,11,.,.,PUNCT
UD-MTB,36,1,Ја,ја,PRON
UD-MTB,36,2,купив,купи,VERB
UD-MTB,36,3,книгата,книга,NOUN
UD-MTB,36,4,и,и,CCONJ
UD-MTB,36,5,почнав,почне,VERB
UD-MTB,36,6,да,да,PART
UD-MTB,36,7,ја,ја,PRON
UD-MTB,36,8,читам,чита,VERB
UD-MTB,36,9,.,.,PUNCT
UD-MTB,37,1,Влегов,влезе,VERB
UD-MTB,37,2,во,во,ADP
UD-MTB,37,3,собата,соба,NOUN
UD-MTB,37,4,на,на,ADP
UD-MTB,37,5,син,син,NOUN
UD-MTB,37,6,ми,ми,PRON
UD-MTB,37,7,и,и,CCONJ
UD-MTB,37,8,запалив,запали,VERB
UD-MTB,37,9,светло,светло,NOUN
UD-MTB,37,10,.,.,PUNCT
UD-MTB,38,1,Ние,ние,PRON
UD-MTB,38,2,пишувавме,пишува,VERB
UD-MTB,38,3,",",",",PUNCT
UD-MTB,38,4,а,а,CCONJ
UD-MTB,38,5,тие,тие,PRON
UD-MTB,38,6,гледаа,гледа,VERB
UD-MTB,38,7,телевизија,телевизија,NOUN
UD-MTB,38,8,.,.,PUNCT
UD-MTB,39,1,Не,не,PART
UD-MTB,39,2,најавија,најави,VERB
UD-MTB,39,3,отсуство,отсуство,NOUN
UD-MTB,39,4,",",",",PUNCT
UD-MTB,39,5,веројатно,веројатно,ADV
UD-MTB,39,6,ќе,ќе,AUX
UD-MTB,39,7,дојдат,дојдe,VERB
UD-MTB,39,8,.,.,PUNCT
UD-MTB,40,1,Иако,иако,SCONJ
UD-MTB,40,2,студеше,студи,VERB
UD-MTB,40,3,",",",",PUNCT
UD-MTB,40,4,не,не,PART
UD-MTB,40,5,облеков,облече,VERB
UD-MTB,40,6,јакна,јакна,NOUN
UD-MTB,40,7,.,.,PUNCT
UD-MTB,41,1,Вчера,вчера,ADV
UD-MTB,41,2,се,се,PRON
UD-MTB,41,3,вратив,врати,VERB
UD-MTB,41,4,од,од,ADP
UD-MTB,41,5,Рим,рим,NOUN
UD-MTB,41,6,",",",",PUNCT
UD-MTB,41,7,каде,каде,PRON
UD-MTB,41,8,што,што,PRON
UD-MTB,41,9,времето,време,NOUN
UD-MTB,41,10,беше,сум,AUX
UD-MTB,41,11,прекрасно,прекрасен,ADJ
UD-MTB,41,12,.,.,PUNCT
UD-MTB,42,1,Влегов,влезе,VERB
UD-MTB,42,2,дома,дома,ADV
UD-MTB,42,3,и,и,CCONJ
UD-MTB,42,4,веднаш,веднаш,ADV
UD-MTB,42,5,го,го,PRON
UD-MTB,42,6,вклучив,вклучи,VERB
UD-MTB,42,7,телевизорот,телевизор,NOUN
UD-MTB,42,8,.,.,PUNCT
UD-MTB,43,1,Одев,оди,VERB
UD-MTB,43,2,накај,накај,ADP
UD-MTB,43,3,дома,дома,ADV
UD-MTB,43,4,и,и,CCONJ
UD-MTB,43,5,размислував,размислува,VERB
UD-MTB,43,6,.,.,PUNCT
UD-MTB,44,1,Бидејќи,бидејќи,SCONJ
UD-MTB,44,2,студеше,студи,VERB
UD-MTB,44,3,",",",",PUNCT
UD-MTB,44,4,облеков,облекува,VERB
UD-MTB,44,5,јакна,јакна,NOUN
UD-MTB,44,6,.,.,PUNCT
UD-MTB,45,1,Сѐ,сѐ,PRON
UD-MTB,45,2,ми,ми,PRON
UD-MTB,45,3,кажа,каже,VERB
UD-MTB,45,4,",",",",PUNCT
UD-MTB,45,5,освен,освен,SCONJ
UD-MTB,45,6,што,што,SCONJ
UD-MTB,45,7,не,не,PART
UD-MTB,45,8,ја,ја,PRON
UD-MTB,45,9,спомна,спомне,VERB
UD-MTB,45,10,средбата,средба,NOUN
UD-MTB,45,11,со,со,ADP
UD-MTB,45,12,Мила,мила,NOUN
UD-MTB,45,13,.,.,PUNCT
UD-MTB,46,1,Бевме,сум,AUX
UD-MTB,46,2,на,на,ADP
UD-MTB,46,3,кино,кино,NOUN
UD-MTB,46,4,",",",",PUNCT
UD-MTB,46,5,а,а,CCONJ
UD-MTB,46,6,потоа,потоа,ADV
UD-MTB,46,7,отидовме,отиде,VERB
UD-MTB,46,8,на,на,ADP
UD-MTB,46,9,вечера,вечера,NOUN
UD-MTB,46,10,.,.,PUNCT
UD-MTB,47,1,Ту,ту,CCONJ
UD-MTB,47,2,тргнуваше,тргнува,VERB
UD-MTB,47,3,ту,ту,CCONJ
UD-MTB,47,4,застануваше,застанува,VERB
UD-MTB,47,5,.,.,PUNCT
UD-MTB,48,1,Мислам,мисли,VERB
UD-MTB,48,2,оти,оти,CCONJ
UD-MTB,48,3,се,се,PRON
UD-MTB,48,4,разбравме,разбира,VERB
UD-MTB,48,5,.,.,PUNCT
UD-MTB,49,1,Жалам,жали,VERB
UD-MTB,49,2,што,што,SCONJ
UD-MTB,49,3,не,не,PART
UD-MTB,49,4,можам,може,VERB
UD-MTB,49,5,да,да,PART
UD-MTB,49,6,ви,ви,PRON
UD-MTB,49,7,помогнам,помогне,VERB
UD-MTB,49,8,.,.,PUNCT
UD-MTB,50,1,Дојди,дојдe,VERB
UD-MTB,50,2,или,или,CCONJ
UD-MTB,50,3,јави,јави,VERB
UD-MTB,50,4,ми,ми,PRON
UD-MTB,50,5,се,се,PRON
UD-MTB,50,6,.,.,PUNCT
UD-MTB,51,1,Ем,ем,CCONJ
UD-MTB,51,2,ме,ме,PRON
UD-MTB,51,3,поканија,покани,VERB
UD-MTB,51,4,на,на,ADP
UD-MTB,51,5,семинар,семинар,NOUN
UD-MTB,51,6,ем,ем,CCONJ
UD-MTB,51,7,ми,ми,PRON
UD-MTB,51,8,понудија,понуди,VERB
UD-MTB,51,9,превоз,превоз,NOUN
UD-MTB,51,10,.,.,PUNCT
UD-MTB,52,1,Планирам,планира,VERB
UD-MTB,52,2,да,да,PART
UD-MTB,52,3,си,си,PRON
UD-MTB,52,4,купам,купи,VERB
UD-MTB,52,5,нова,нов,ADJ
UD-MTB,52,6,кола,кола,NOUN
UD-MTB,52,7,.,.,PUNCT
UD-MTB,53,1,Го,го,PRON
UD-MTB,53,2,посматрав,посматра,VERB
UD-MTB,53,3,како,како,ADV
UD-MTB,53,4,заспива,заспие,VERB
UD-MTB,53,5,.,.,PUNCT
UD-MTB,54,1,Беше,сум,AUX
UD-MTB,54,2,вознемирен,вознемирен,ADJ
UD-MTB,54,3,додека,додека,SCONJ
UD-MTB,54,4,разговарав,разговара,VERB
UD-MTB,54,5,со,со,ADP
UD-MTB,54,6,него,него,PRON
UD-MTB,54,7,.,.,PUNCT
UD-MTB,55,1,Тој,тој,PRON
UD-MTB,55,2,ќе,ќе,AUX
UD-MTB,55,3,ги,ги,PRON
UD-MTB,55,4,брани,брани,VERB
UD-MTB,55,5,бесплатно,бесплатно,ADV
UD-MTB,55,6,.,.,PUNCT
UD-MTB,56,1,Продадоа,продаде,VERB
UD-MTB,56,2,скапа,скап,ADJ
UD-MTB,56,3,роба,роба,NOUN
UD-MTB,56,4,.,.,PUNCT
UD-MTB,57,1,Марко,марко,PROPN
UD-MTB,57,2,",",",",PUNCT
UD-MTB,57,3,мојот,мој,DET
UD-MTB,57,4,син,син,NOUN
UD-MTB,57,5,",",",",PUNCT
UD-MTB,57,6,пристигна,пристигне,VERB
UD-MTB,57,7,на,на,ADP
UD-MTB,57,8,аеродромот,аеродром,NOUN
UD-MTB,57,9,.,.,PUNCT
UD-MTB,58,1,Книгата,книга,NOUN
UD-MTB,58,2,беше,сум,AUX
UD-MTB,58,3,прочитана,прочита,VERB
UD-MTB,58,4,.,.,PUNCT
UD-MTB,59,1,Детето,дете,NOUN
UD-MTB,59,2,се,се,PRON
UD-MTB,59,3,криеше,крие(се),VERB
UD-MTB,59,4,зад,зад,ADP
UD-MTB,59,5,куќата,куќа,NOUN
UD-MTB,59,6,.,.,PUNCT
UD-MTB,60,1,Марија,марија,PROPN
UD-MTB,60,2,е,сум,AUX
UD-MTB,60,3,убава,убав,ADJ
UD-MTB,60,4,и,и,CCONJ
UD-MTB,60,5,мила,мил,ADJ
UD-MTB,60,6,.,.,PUNCT
UD-MTB,61,1,Мислам,мислам,VERB
UD-MTB,61,2,дека,дека,SCONJ
UD-MTB,61,3,ќе,ќе,AUX
UD-MTB,61,4,врне,врне,VERB
UD-MTB,61,5,.,.,PUNCT
UD-MTB,62,1,Јован,јован,PROPN
UD-MTB,62,2,е,сум,AUX
UD-MTB,62,3,чесен,чесен,ADJ
UD-MTB,62,4,.,.,PUNCT
UD-MTB,63,1,Кој,кој,PRON
UD-MTB,63,2,доцни,доцни,VERB
UD-MTB,63,3,",",",",PUNCT
UD-MTB,63,4,ќе,ќе,AUX
UD-MTB,63,5,чека,чека,VERB
UD-MTB,63,6,.,.,PUNCT
UD-MTB,64,1,Останува,останува,VERB
UD-MTB,64,2,да,да,PART
UD-MTB,64,3,се,се,PRON
UD-MTB,64,4,сретнеме,сретне(се),VERB
UD-MTB,64,5,.,.,PUNCT
UD-MTB,65,1,Татко,татко,NOUN
UD-MTB,65,2,му,му,PRON
UD-MTB,65,3,извади,извади,VERB
UD-MTB,65,4,една,еден,DET
UD-MTB,65,5,голема,голем,ADJ
UD-MTB,65,6,торта,торта,NOUN
UD-MTB,65,7,.,.,PUNCT
UD-MTB,66,1,На,на,ADP
UD-MTB,66,2,улицата,улица,NOUN
UD-MTB,66,3,се,се,PRON
UD-MTB,66,4,играа,игра,VERB
UD-MTB,66,5,некои,некој,DET
UD-MTB,66,6,нови,нов,ADJ
UD-MTB,66,7,деца,дете,NOUN
UD-MTB,66,8,.,.,PUNCT
UD-MTB,67,1,Му,му,PRON
UD-MTB,67,2,ја,ја,PRON
UD-MTB,67,3,даде,даде,VERB
UD-MTB,67,4,ли,ли,PART
UD-MTB,67,5,тетратката,тетратка,NOUN
UD-MTB,67,6,на,на,ADP
UD-MTB,67,7,Јован,јован,PROPN
UD-MTB,67,8,.,.,PUNCT
UD-MTB,68,1,Море,море,INTJ
UD-MTB,68,2,",",",",PUNCT
UD-MTB,68,3,ќе,ќе,AUX
UD-MTB,68,4,му,му,PRON
UD-MTB,68,5,покажам,покаже,VERB
UD-MTB,68,6,јас,јас,PRON
UD-MTB,68,7,нему,нему,PRON
UD-MTB,68,8,.,.,PUNCT
UD-MTB,69,1,Мајсторот,мајстор,NOUN
UD-MTB,69,2,се,се,PRON
UD-MTB,69,3,зафати,зафати,VERB
UD-MTB,69,4,со,со,ADP
UD-MTB,69,5,работа,работа,NOUN
UD-MTB,69,6,.,.,PUNCT
UD-MTB,70,1,Тој,тој,PRON
UD-MTB,70,2,сака,сака,VERB
UD-MTB,70,3,кучиња,куче,NOUN
UD-MTB,70,4,како,како,ADV
UD-MTB,70,5,и,и,CCONJ
UD-MTB,70,6,мачки,мачка,NOUN
UD-MTB,70,7,.,.,PUNCT
UD-MTB,71,1,Лудвиг,лудвиг,PROPN
UD-MTB,71,2,ван,ван,PROPN
UD-MTB,71,3,Бетовен,бетовен,PROPN
UD-MTB,71,4,бил,сум,AUX
UD-MTB,71,5,познат,познат,ADJ
UD-MTB,71,6,композитор,композитор,NOUN
UD-MTB,71,7,.,.,PUNCT
UD-MTB,72,1,Го,го,PRON
UD-MTB,72,2,решивме,реши,VERB
UD-MTB,72,3,проблемот,проблем,NOUN
UD-MTB,72,4,којшто,којшто,PRON
UD-MTB,72,5,нè,нè,PRON
UD-MTB,72,6,мачеше,мачи,VERB
UD-MTB,72,7,со,со,ADP
UD-MTB,72,8,години,година,NOUN
UD-MTB,72,9,.,.,PUNCT
UD-MTB,73,1,Им,им,PRON
UD-MTB,73,2,даде,даде,VERB
UD-MTB,73,3,на,на,ADP
UD-MTB,73,4,сите,сите,PRON
UD-MTB,73,5,по,по,ADP
UD-MTB,73,6,една,едeн,NUM
UD-MTB,73,7,паричка,паричка,NOUN
UD-MTB,73,8,.,.,PUNCT
UD-MTB,74,1,Колоните,колона,NOUN
UD-MTB,74,2,долги,долг,ADJ
UD-MTB,74,3,",",",",PUNCT
UD-MTB,74,4,правилата,правило,NOUN
UD-MTB,74,5,глупави,глупав,ADJ
UD-MTB,74,6,",",",",PUNCT
UD-MTB,74,7,персоналот,персонал,NOUN
UD-MTB,74,8,дрзок,дрзок,ADJ
UD-MTB,74,9,",",",",PUNCT
UD-MTB,74,10,храната,храна,NOUN
UD-MTB,74,11,добра,добар,ADJ
UD-MTB,74,12,.,.,PUNCT
UD-MTB,75,1,Мислам,мисли,VERB
UD-MTB,75,2,дека,дека,SCONJ
UD-MTB,75,3,кучето,куче,NOUN
UD-MTB,75,4,си,си,PRON
UD-MTB,75,5,замина,замина,VERB
UD-MTB,75,6,.,.,PUNCT
UD-MTB,76,1,Сакам,сака,VERB
UD-MTB,76,2,да,да,PART
UD-MTB,76,3,дојдеш,дојдe,VERB
UD-MTB,77,1,Канцеларијата,канцеларија,NOUN
UD-MTB,77,2,на,на,ADP
UD-MTB,77,3,претседателот,претседател,NOUN
UD-MTB,78,1,Детето,дете,NOUN
UD-MTB,78,2,ја,ја,PRON
UD-MTB,78,3,прескокна,прескокне,VERB
UD-MTB,78,4,клупата,клупа,NOUN
UD-MTB,78,5,.,.,PUNCT
UD-MTB,79,1,Надвор,надвор,ADV
UD-MTB,79,2,летаат,лета,VERB
UD-MTB,79,3,два,два,NUM
UD-MTB,79,4,авиона,авион,NOUN
UD-MTB,79,5,.,.,PUNCT
UD-MTB,80,1,Му,му,PRON
UD-MTB,80,2,плетам,плете,VERB
UD-MTB,80,3,џемпер,џемпер,NOUN
UD-MTB,80,4,.,.,PUNCT
UD-MTB,81,1,Марија,марија,PROPN
UD-MTB,81,2,освои,освои,VERB
