PAPER ID,TITLE,DISCIPLINE,PAPER TYPE,STUDENT LEVEL,SEX,NATIVENESS,TEXTUAL FEATURES
ECO.G0.01.1,Article Review: My Anti-Stump Speech,Economics,Report,Final Year Undergraduate,Male,NNS (L1: Mandarin),"Tables, graphs or figures"
ECO.G0.04.1,FTC Approves Rocket Joint Venture,Economics,Report,Final Year Undergraduate,Male,NNS (L1: Russian),Reference to sources
ECO.G1.03.1,What Drives the Relationship between Education and Fertility?,Economics,Research Paper,First Year Graduate,Female,NNS (L1: Chinese),"Abstract,  Tables, graphs or figures,  Discussion of results section,  Methodology section,  Problem-solution pattern,  Literature review section,  Reference to sources"
ECO.G2.01.1,Capital Flows and the Role of Institutions,Economics,Research Paper,Second Year Graduate,Female,"NNS (L1: German, Mandarin)","Literature review section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
ECO.G2.04.1,Asymmetric Stock Price Response to Firms' Earnings Announcements,Economics,Research Paper,Second Year Graduate,Male,NNS (L1: Korean),"Abstract,  Tables, graphs or figures,  Methodology section,  Definitions,  Discussion of results section,  Literature review section,  Reference to sources"
ECO.G2.08.1,Referee Report for a Job Market Paper in International Finance,Economics,Research Paper,Second Year Graduate,Male,NNS (L1: Turkish), 
ECO.G3.01.1,A Model of the Discrepancy between Corporate Income Tax Report and Output Announcements,Economics,Research Paper,Third Year Graduate,Female,NNS (L1: Korean),"Abstract,  Tables, graphs or figures,  Discussion of results section,  Methodology section,  Problem-solution pattern,  Reference to sources"
EDU.G0.15.1,Classroom study: Latin,Education,Report,Final Year Undergraduate,Female,NNS (L1: Russian),Reference to sources
EDU.G2.01.1,The Economics of Philippine Education,Education,Report,Second Year Graduate,Male,"NNS (L1: Chinese, Tagalog)","Tables, graphs or figures,  Reference to sources"
EDU.G2.01.2,"Language, Literacy, and Policy",Education,Report,Second Year Graduate,Male,"NNS (L1: Chinese, Tagalog)","Problem-solution pattern,  Tables, graphs or figures,  Reference to sources"
EDU.G1.05.1,International Student Adjustment ,Education,Research Paper,First Year Graduate,Female,NNS (L1: Korean),"Methodology section,  Discussion of results section,  Literature review section,  Reference to sources"
ENG.G0.18.1,Individuality and Isolation in Moll Flanders,English,Argumentative Essay,Final Year Undergraduate,Female,NNS (L1: Mandarin Chinese),Reference to sources
ENG.G0.18.2,Frames and Resistance in Pride and Prejudice,English,Argumentative Essay,Final Year Undergraduate,Female,NNS (L1: Mandarin Chinese),Reference to sources
ENG.G0.18.3,Satire and Morality in the Vicar of Wakefield,English,Argumentative Essay,Final Year Undergraduate,Female,NNS (L1: Mandarin Chinese),Reference to sources
ENG.G0.18.4,The Space of Dreams in The Age of Innocence,English,Argumentative Essay,Final Year Undergraduate,Female,NNS (L1: Mandarin Chinese),Reference to sources
ENG.G0.47.1,"Female Bonding in the Novel ""Roxana""",English,Argumentative Essay,Final Year Undergraduate,Female,NNS (L1: Urdu),Reference to sources
ENG.G0.58.1,My Reading of Chaucer,English,Argumentative Essay,Final Year Undergraduate,Male,NNS (L1: Chinese),"Literature review section,  Reference to sources"
ENG.G1.06.1,Intergenerational Trauma in Nora Okja Keller's Comfort Woman,English,Argumentative Essay,First Year Graduate,Male,NNS (L1: Tamil),Reference to sources
ENG.G0.57.1,"Hire Me, You Know You Want To",English,Creative Writing,Final Year Undergraduate,Female,NNS (L1: Chinese), 
HIS.G1.04.1,Outsourcing History: On the Necessity of Stepping Out of the Archive,History & Classical Studies,Argumentative Essay,First Year Graduate,Female,NNS (L1: Hebrew),Reference to sources
HIS.G1.10.1,Orientalism and History,History & Classical Studies,Critique/Evaluation,First Year Graduate,Male,NNS (L1: Korean),Reference to sources
IOE.G1.02.3,Hand Grip Force and Coefficient of Friction with Different Materials and Conditions,Industrial & Operations Engineering,Critique/Evaluation,First Year Graduate,Female,NNS (L1: Korean),"Abstract,  Tables, graphs or figures,  Discussion of results section,  Methodology section,  Problem-solution pattern,  Literature review section,  Reference to sources"
IOE.G0.12.2,Change of Layout and Processes in the Midville Academy Cafeteria,Industrial & Operations Engineering,Proposal,Final Year Undergraduate,Female,NNS (L1: Bahasa Indonesia), 
IOE.G0.12.1,"Choosing between paper towels, cloth toweling rolls and hot air dryers for drying hands",Industrial & Operations Engineering,Report,Final Year Undergraduate,Female,NNS (L1: Bahasa Indonesia),"Discussion of results section,  Tables, graphs or figures"
IOE.G1.04.1,A Failed Design or Designed To Fail?,Industrial & Operations Engineering,Report,First Year Graduate,Female,NNS (L1: Marathi),"Tables, graphs or figures,  Reference to sources"
IOE.G1.05.1,Complexity Theory: Simplifying Life for Organizational Theorists,Industrial & Operations Engineering,Report,First Year Graduate,Male,NNS (L1: Teluga),"Definitions,  Tables, graphs or figures,  Reference to sources"
IOE.G1.05.2,To Best or Not to Best,Industrial & Operations Engineering,Report,First Year Graduate,Male,NNS (L1: Teluga),Reference to sources
IOE.G1.06.1,Organizations as Brains: An Information Processing View - An Analysis of the Challenger Disaster,Industrial & Operations Engineering,Report,First Year Graduate,Female,NNS (L1: Chinese),Reference to sources
IOE.G1.09.1,Imagen Healthcare Inventory Sharing Plan,Industrial & Operations Engineering,Report,First Year Graduate,Male,NNS (L1: Hindi),"Methodology section,  Discussion of results section,  Tables, graphs or figures"
IOE.G1.10.2,Core and Non Core Processes,Industrial & Operations Engineering,Report,First Year Graduate,Male,NNS (L1: Marathi),"Definitions,  Tables, graphs or figures"
IOE.G1.11.1,Revenue Sharing in the National Bossaball League in Tinland,Industrial & Operations Engineering,Report,First Year Graduate,Male,NNS (L1: Tamil),"Problem-solution pattern,  Discussion of results section,  Tables, graphs or figures"
IOE.G1.11.2,Factory flow benchmarking report,Industrial & Operations Engineering,Report,First Year Graduate,Male,NNS (L1: Tamil), 
IOE.G1.02.2,Effect on Legibility of Surround Luminance and Background/Character Color,Industrial & Operations Engineering,Research Paper,First Year Graduate,Female,NNS (L1: Korean),"Tables, graphs or figures,  Methodology section,  Problem-solution pattern,  Discussion of results section,  Reference to sources"
IOE.G1.02.4,2D Static Biomechanical Computations,Industrial & Operations Engineering,Research Paper,First Year Graduate,Female,NNS (L1: Korean),"Methodology section,  Discussion of results section,  Tables, graphs or figures"
IOE.G1.02.1,Society of Automotive Engineers (SAE) Annual Congress Review,Industrial & Operations Engineering,Response Paper,First Year Graduate,Female,NNS (L1: Korean), 
IOE.G1.10.1,Acme Omega Case Study,Industrial & Operations Engineering,Response Paper,First Year Graduate,Male,NNS (L1: Marathi),"Tables, graphs or figures"
LIN.G2.01.2,A Dynamic POS-Tagging-Learned Approach of Chinese WSD,Linguistics,Proposal,Second Year Graduate,Female,NNS (L1: Mandarin),"Definitions,  Methodology section,  Tables, graphs or figures,  Reference to sources"
LIN.G2.01.1,On Question Operators in Chinese Wh-multiple Questions,Linguistics,Report,Second Year Graduate,Female,NNS (L1: Mandarin),"Discussion of results section,  Literature review section,  Reference to sources"
LIN.G2.01.3,Reviewing 'On Sense and Reference',Linguistics,Report,Second Year Graduate,Female,NNS (L1: Mandarin),"Tables, graphs or figures,  Reference to sources"
LIN.G3.01.1,Conversation as a 'Collaborative Achievement',Linguistics,Report,Third Year Graduate,Female,"NNS (L1: Cantonese, Mandarin)", 
LIN.G3.01.2,'Lazy Pronunciation' and the Ideologies of Cantonese Standardization,Linguistics,Report,Third Year Graduate,Female,"NNS (L1: Cantonese, Mandarin)","Problem-solution pattern,  Literature review section,  Reference to sources"
LIN.G0.04.1,Instant Messaging: R U Ready 4 It?,Linguistics,Research Paper,Final Year Undergraduate,Female,NNS (L1: Korean),"Problem-solution pattern,  Discussion of results section,  Reference to sources"
LIN.G3.02.1,A Multi-lingual Segmenter by Using Viterbi Algorithm,Linguistics,Research Paper,Third Year Graduate,Female,NNS (L1: Mandarin),"Abstract,  Discussion of results section,  Methodology section,  Problem-solution pattern,  Literature review section,  Reference to sources"
MEC.G1.02.1,Autobody structure mini project,Mechanical Engineering,Proposal,First Year Graduate,Male,NNS (L1: Korean),"Tables, graphs or figures,  Problem-solution pattern,  Discussion of results section"
MEC.G1.04.1,Product Development in a Competitive Global Environment,Mechanical Engineering,Proposal,First Year Graduate,Male,NNS (L1: Marathi),"Problem-solution pattern,  Tables, graphs or figures"
MEC.G1.05.2,A Discussion of Research into Cyclic Flow Variations in Internal Combustion Engines,Mechanical Engineering,Report,First Year Graduate,Female,NNS (L1: Malayalam),"Discussion of results section,  Literature review section,  Reference to sources"
MEC.G1.09.1,Water Irrigation Pump Final Report,Mechanical Engineering,Report,First Year Graduate,Female,NNS (L1: Hindi),"Abstract,  Tables, graphs or figures,  Discussion of results section,  Methodology section,  Definitions,  Problem-solution pattern,  Reference to sources"
MEC.G3.03.1,Stretchable Electronics,Mechanical Engineering,Report,Third Year Graduate,Male,NNS (L1: Hindi),"Literature review section,  Reference to sources"
MEC.G0.10.1,Predicting the Biomechanical Behavior of Aortic Tissue Using Constitutive Models,Mechanical Engineering,Research Paper,Final Year Undergraduate,Female,NNS (L1: Tamil),"Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
MEC.G1.05.1,Turbulence in internal combustion engines,Mechanical Engineering,Research Paper,First Year Graduate,Female,NNS (L1: Malayalam),"Abstract,  Tables, graphs or figures,  Discussion of results section,  Methodology section,  Problem-solution pattern,  Reference to sources"
MEC.G2.01.1,Simulation of Quantum Dot Formation Using Finite Element Method,Mechanical Engineering,Research Paper,Second Year Graduate,Male,NNS (L1: Chinese),"Abstract,  Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
MEC.G2.03.1,Achieving 100% Renewable Electricity: A University of Michigan Case Study,Mechanical Engineering,Research Paper,Second Year Graduate,Male,NNS (L1: Hindi),"Abstract,  Tables, graphs or figures,  Discussion of results section,  Methodology section,  Problem-solution pattern,  Reference to sources"
MEC.G3.01.1,Feedforward and feedback control of lane keeping by the human driver,Mechanical Engineering,Research Paper,Third Year Graduate,Male,NNS (L1: Chinese),"Abstract,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
NRE.G1.31.1,Policy decision memo,Natural Resources & Environment,Argumentative Essay,First Year Graduate,Female,NNS (L1: Thai), 
NRE.G0.08.1,Urban Planning Memo,Natural Resources & Environment,Report,Final Year Undergraduate,Female,NNS (L1: Vietnamese),"Tables, graphs or figures"
NRE.G1.05.1,Propoerty Rights and Decentralization of Forest Management in India,Natural Resources & Environment,Report,First Year Graduate,Male,NNS (L1: Hindi),"Tables, graphs or figures,  Reference to sources"
NRE.G1.29.1,Local people mobilization for China's Reforestation Project,Natural Resources & Environment,Report,First Year Graduate,Female,NNS (L1: Chinese),"Abstract,  Discussion of results section,  Reference to sources"
NRE.G2.08.1,Environmental improvement example,Natural Resources & Environment,Report,Second Year Graduate,Female,NNS (L1: Thai),Reference to sources
NUR.G0.03.1,What Women Want: Comprehensive Contraceptive Coverage,Nursing,Argumentative Essay,Final Year Undergraduate,Female,NNS (L1: Tamil),Reference to sources
NUR.G0.04.1,Socially-Constructed Stress on Women's Health,Nursing,Argumentative Essay,Final Year Undergraduate,Female,NNS (L1: Mandarin), 
NUR.G1.07.1,Value in Health Care,Nursing,Argumentative Essay,First Year Graduate,Female,NNS (L1: Bengali),Reference to sources
NUR.G2.03.2,Bipolar disorder management plan,Nursing,Proposal,Second Year Graduate,Female,NNS (L1: Korean),"Definitions,  Methodology section,  Reference to sources"
NUR.G2.03.3,Integrated Literature Review and Proposal for Provide-Patient Interaction,Nursing,Proposal,Second Year Graduate,Female,NNS (L1: Korean),"Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
NUR.G3.06.1,Research protocol for dissertation research,Nursing,Proposal,Third Year Graduate,Female,NNS (L1: URDU),"Methodology section,  Tables, graphs or figures,  Discussion of results section"
NUR.G1.01.1,The Critique of Bracht's Community Analysis,Nursing,Report,First Year Graduate,Female,NNS (L1: Mandarin),"Definitions,  Reference to sources"
NUR.G1.04.1,Practice Paradigm in Nursing,Nursing,Report,First Year Graduate,Female,NNS (L1: Romanian),Reference to sources
NUR.G1.04.2,Practice Paradigm in Nursing: From Theory to Practice,Nursing,Report,First Year Graduate,Female,NNS (L1: Romanian),Reference to sources
NUR.G2.03.1,Reflection & Analysis Critique on a Client with Chronic Illness,Nursing,Report,Second Year Graduate,Female,NNS (L1: Korean),"Problem-solution pattern,  Literature review section,  Reference to sources"
NUR.G2.03.4,Interaction Model of Client Health Behavior and Womanist Thought,Nursing,Report,Second Year Graduate,Female,NNS (L1: Korean),"Tables, graphs or figures,  Methodology section,  Discussion of results section,  Literature review section,  Reference to sources"
NUR.G2.05.1,Adolescent Condom Use and the Theory of Planned Behavior,Nursing,Report,Second Year Graduate,Female,NNS (L1: Unknown),"Literature review section,  Reference to sources"
PHI.G0.15.1,Transaction Ethics,Philosophy,Argumentative Essay,Final Year Undergraduate,Female,NNS (L1: Bosnian),Reference to sources
PHI.G0.16.1,Basic Frameworks of Moral Justification and Hierarchy of Human Needs,Philosophy,Argumentative Essay,Final Year Undergraduate,Female,NNS (L1: Chinese),Reference to sources
PHI.G1.02.1,A Defense of Ontological Relativity,Philosophy,Argumentative Essay,First Year Graduate,Male,NNS (L1: Spanish),Reference to sources
PHI.G1.04.1,Explanation and Understanding,Philosophy,Argumentative Essay,First Year Graduate,Male,NNS (L1: Swedish),Reference to sources
PHI.G1.02.2,The Problem of Necessary / a posteriori and Contingent / a priori Truths,Philosophy,Research Paper,First Year Graduate,Male,NNS (L1: Spanish),"Definitions,  Tables, graphs or figures,  Reference to sources"
PHY.G1.02.1,Optical Lattices: A Study of Bose-Hubbard Model,Physics,Report,First Year Graduate,Female,NNS (L1: Chinese),"Discussion of results section,  Reference to sources"
PHY.G2.02.1,Search for SUSY Signatures in the Dilepton Channel at CDF,Physics,Report,Second Year Graduate,Male,NNS (L1: Sinhala),"Abstract,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
POL.G3.02.1,Effect of Anxiety to Citizens' Political Capability,Political Science,Argumentative Essay,Third Year Graduate,Male,NNS (L1: Japanese),"Literature review section,  Reference to sources"
POL.G0.02.1," midterm, law and public policy/ constitutional law",Political Science,Critique/Evaluation,Final Year Undergraduate,Female,NNS (L1: Filipino (Tagalog and Illocano)),Reference to sources
POL.G0.37.1,U.S. Civil Liberties,Political Science,Critique/Evaluation,Final Year Undergraduate,Female,NNS (L1: Russian), 
POL.G0.47.1,Political Ad Analysis ,Political Science,Critique/Evaluation,Final Year Undergraduate,Male,NNS (L1: Korean), 
POL.G0.02.2,Curbing corruption through electoral reform ,Political Science,Report,Final Year Undergraduate,Female,NNS (L1: Filipino (Tagalog and Illocano)),"Definitions,  Tables, graphs or figures,  Reference to sources"
POL.G0.21.1,Political Realignment in the South,Political Science,Report,Final Year Undergraduate,Male,NNS (L1: Urdu),Reference to sources
POL.G0.46.1,International Law During the War on Terror,Political Science,Report,Final Year Undergraduate,Male,NNS (L1: Arabic),"Definitions,  Reference to sources"
POL.G2.01.1,Wilson's When Work Disappears,Political Science,Report,Second Year Graduate,Male,NNS (L1: Spanish),"Tables, graphs or figures"
POL.G0.13.1,Daily Show Political Analysis,Political Science,Research Paper,Final Year Undergraduate,Female,NNS (L1: Hindi),"Tables, graphs or figures,  Methodology section,  Discussion of results section,  Literature review section,  Reference to sources"
PSY.G0.15.1,The Cultural Effects on the Self,Psychology,Argumentative Essay,Final Year Undergraduate,Female,NNS (L1: Greek),Reference to sources
PSY.G0.34.2,The Trouble with Evan,Psychology,Argumentative Essay,Final Year Undergraduate,Female,NNS (L1: Korean),Reference to sources
PSY.G1.11.4,Treating psychopathology in adults,Psychology,Argumentative Essay,First Year Graduate,Female,NNS (L1: German and Spanish),Reference to sources
PSY.G2.10.1,Can projective assessment instruments be helpful with the five common reasons for psychological testing?,Psychology,Argumentative Essay,Second Year Graduate,Female,NNS (L1: Korean),Reference to sources
PSY.G2.10.2,Understanding Dorris's The Broken Cord from a Multiple Systems Perspective,Psychology,Argumentative Essay,Second Year Graduate,Female,NNS (L1: Korean),Reference to sources
PSY.G0.34.1,John/Joan Case Study and the Obedience Study,Psychology,Critique/Evaluation,Final Year Undergraduate,Female,NNS (L1: Korean),"Definitions,  Reference to sources"
PSY.G1.11.5,Final paper scholarship women of color,Psychology,Critique/Evaluation,First Year Graduate,Female,NNS (L1: German and Spanish),Reference to sources
PSY.G2.10.4,Evaluation of Behavioral and Cognitive Behavioral Theories and Interventions,Psychology,Critique/Evaluation,Second Year Graduate,Female,NNS (L1: Korean),Reference to sources
PSY.G2.10.5,Critique of the DSM-IV,Psychology,Critique/Evaluation,Second Year Graduate,Female,NNS (L1: Korean),"Definitions,  Problem-solution pattern,  Reference to sources"
PSY.G0.14.1,The Possible Effects of Isolation and Conspecifics in the Emission of 22kHz USVs in Adult Rats,Psychology,Proposal,Final Year Undergraduate,Female,NNS (L1: Vietnamese),"Methodology section,  Discussion of results section,  Literature review section,  Reference to sources"
PSY.G1.11.3,The moderating effects of cultural values and racial/cultural identity in the relation between gender and the psychological well-being of Latino adolescents,Psychology,Proposal,First Year Graduate,Female,NNS (L1: German and Spanish),"Literature review section,  Reference to sources"
PSY.G0.05.1,Immigrant Life History Paper,Psychology,Report,Final Year Undergraduate,Male,NNS (L1: Mandarin),Reference to sources
PSY.G0.14.2,Circadian Rhythms,Psychology,Report,Final Year Undergraduate,Female,NNS (L1: Vietnamese), 
PSY.G0.36.1,Attention Deficit Hyperactivity Disorder,Psychology,Report,Final Year Undergraduate,Female,NNS (L1: Hindi),Reference to sources
PSY.G1.02.1,Is Trauma Research Unethical?,Psychology,Report,First Year Graduate,Female,NNS (L1: Marathi),"Literature review section,  Reference to sources"
PSY.G1.11.1,The Psychological Well-Being of Latino/a Adolescents,Psychology,Report,First Year Graduate,Female,NNS (L1: German and Spanish),"Definitions,  Reference to sources"
PSY.G1.11.2,"Acculturative Stress, Cultural Values, and the Psychological Well-Being of Latino/a and Korean American Adolescents",Psychology,Report,First Year Graduate,Female,NNS (L1: German and Spanish),"Definitions,  Problem-solution pattern,  Reference to sources"
PSY.G2.10.3,Hippocampal Abnormalities in Psychiatric Disorders,Psychology,Report,Second Year Graduate,Female,NNS (L1: Korean),"Definitions,  Literature review section,  Reference to sources"
PSY.G2.11.1,Emerging reading ability: interplay between theory and research,Psychology,Report,Second Year Graduate,Female,NNS (L1: Cantonese),Reference to sources
PSY.G2.11.2,Constraints on a big-picture of cognitive development,Psychology,Report,Second Year Graduate,Female,NNS (L1: Cantonese),Reference to sources
PSY.G0.04.1,"Metagames: An Analysis, Interpretation, and Application to the Theory of Mind Through a Consideration of the Prisonerâs Dilemma",Psychology,Research Paper,Final Year Undergraduate,Male,NNS (L1: Mandarin),"Abstract,  Tables, graphs or figures,  Discussion of results section"
PSY.G0.21.1,Fear Conditioning Lab,Psychology,Research Paper,Final Year Undergraduate,Male,NNS (L1: Arabic),"Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
PSY.G0.30.1,"The Relationship between Depressed Mood and Perceived Parental Alienation, Trust, and Pride in Academic Accomplishments",Psychology,Research Paper,Final Year Undergraduate,Female,NNS (L1: Marathi),"Abstract,  Tables, graphs or figures,  Methodology section,  Discussion of results section,  Literature review section,  Reference to sources"
SOC.G1.10.1,"Interpreting the Theoretical Origin of the Utilitarian, Liberalism and Marxism: Part 1",Sociology,Argumentative Essay,First Year Graduate,Female,NNS (L1: Chinese), 
SOC.G1.10.2,Interpreting the Social Theories on Power and Social Knowledge: Part 1,Sociology,Argumentative Essay,First Year Graduate,Female,NNS (L1: Chinese),Reference to sources
SOC.G1.10.6,"Interpreting the Theoretical Origin of the Utilitarian, Liberalism and Marxism: Part 2",Sociology,Argumentative Essay,First Year Graduate,Female,NNS (L1: Chinese),Reference to sources
SOC.G1.10.7,Interpreting the Social Theories on Power and Social Knowledge: Part 2,Sociology,Argumentative Essay,First Year Graduate,Female,NNS (L1: Chinese),Reference to sources
SOC.G3.01.2,Rethinking the 'Cultural turn' in Class Formation Theory - To Be a Marxist or Not?,Sociology,Argumentative Essay,Third Year Graduate,Female,NNS (L1: Japanese),Reference to sources
SOC.G3.01.3,Rethinking Power in Marx,Sociology,Argumentative Essay,Third Year Graduate,Female,NNS (L1: Japanese),Reference to sources
SOC.G3.03.1,The Modern State: Imagined or Real?,Sociology,Argumentative Essay,Third Year Graduate,Male,NNS (L1: Korean),Reference to sources
SOC.G3.06.1,Revolution: Never Obsolete,Sociology,Argumentative Essay,Third Year Graduate,Male,NNS (L1: Urdu), 
SOC.G3.02.1,"Hobbes, Durkheim, and Spencer: On the Emergence of a Supra-individual Realm",Sociology,Critique/Evaluation,Third Year Graduate,Female,NNS (L1: Korean),Reference to sources
SOC.G3.10.3,"Emergence of the Supra-Individual Realm in Hobbes, Rousseau and Spencer",Sociology,Critique/Evaluation,Third Year Graduate,Female,NNS (L1: Russian), 
SOC.G1.10.3,Stratification and Mobility of Chinese Peasant Workers,Sociology,Proposal,First Year Graduate,Female,NNS (L1: Chinese),"Methodology section,  Tables, graphs or figures,  Reference to sources"
SOC.G1.10.4,The Role of Township and Village Enterprises Play on Income Inequality in Rural China,Sociology,Proposal,First Year Graduate,Female,NNS (L1: Chinese),Reference to sources
SOC.G1.02.1,"Concepts of Polanyi, Adrent and Harbermas in a conceptual network of utilitarian and liberal social thoughts: Part 1",Sociology,Report,First Year Graduate,Female,NNS (L1: chinese),Reference to sources
SOC.G1.02.2,"Concepts of Polanyi, Adrent and Harbermas in a conceptual network of utilitarian and liberal social thoughts: Part 2",Sociology,Report,First Year Graduate,Female,NNS (L1: chinese),Reference to sources
SOC.G3.01.1,Alienation of Workers: The Contemporary Japanese Working Class's Situation,Sociology,Report,Third Year Graduate,Female,NNS (L1: Japanese),"Problem-solution pattern,  Reference to sources"
SOC.G3.06.2,Marx and imperialism,Sociology,Report,Third Year Graduate,Male,NNS (L1: Urdu),Reference to sources
SOC.G3.10.1,Repression and the Emergence of the Bourgeois Self: The Social Origins of Neuroses,Sociology,Report,Third Year Graduate,Female,NNS (L1: Russian),"Definitions,  Reference to sources"
SOC.G3.10.2,Goffman and Butler: Two Complementary Approaches for Understanding a Queer Social Interaction,Sociology,Report,Third Year Graduate,Female,NNS (L1: Russian),Reference to sources
SOC.G1.10.5,"The Determinants of Attitudes toward Unhappy Marriages in Gansu, China",Sociology,Research Paper,First Year Graduate,Female,NNS (L1: Chinese),"Methodology section,  Discussion of results section,  Tables, graphs or figures"
SOC.G3.04.1,Household Decision Making in Nepal: Attitudes Toward Gender Roles,Sociology,Research Paper,Third Year Graduate,Female,NNS (L1: Nepali),"Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
SOC.G3.08.1,Do Other Femininity: Chinese Women and Professionalization in Engineering,Sociology,Research Paper,Third Year Graduate,Female,NNS (L1: Mandarin),"Abstract,  Methodology section,  Discussion of results section,  Literature review section"
